n,k,t,scale,MW
DE,offshore,2021-02-05T03:00:00,1.0,1994.3680390716063
DE,offshore,2021-02-05T06:00:00,1.0,2313.1830794217144
DE,offshore,2021-02-05T09:00:00,1.0,2360.5301190282967
DE,offshore,2021-02-05T12:00:00,1.0,2363.355205817692
DE,offshore,2021-02-05T15:00:00,1.0,2421.9973571117657
DE,offshore,2021-02-05T18:00:00,1.0,2460.4181836244466
DE,offshore,2021-02-05T21:00:00,1.0,2455.7384767736226
DE,offshore,2021-02-06T00:00:00,1.0,2443.9038244041785
DE,offshore,2021-02-06T03:00:00,1.0,2532.4669483262164
DE,offshore,2021-02-06T06:00:00,1.0,2747.730177721277
DE,offshore,2021-02-06T09:00:00,1.0,3066.0127849460587
DE,offshore,2021-02-06T12:00:00,1.0,3522.8289104168953
DE,offshore,2021-02-06T15:00:00,1.0,4116.225314686934
DE,offshore,2021-02-06T18:00:00,1.0,4756.997146795562
DE,offshore,2021-02-06T21:00:00,1.0,5454.032182431126
DE,offshore,2021-02-07T00:00:00,1.0,6178.434016562501
DE,offshore,2021-02-07T03:00:00,1.0,6901.645625670448
DE,offshore,2021-02-07T06:00:00,1.0,7597.064618222118
DE,offshore,2021-02-07T09:00:00,1.0,8237.96643232922
DE,offshore,2021-02-07T12:00:00,1.0,8799.721570697488
DE,offshore,2021-02-07T15:00:00,1.0,9260.742098395345
DE,offshore,2021-02-07T18:00:00,1.0,9603.311255086655
DE,offshore,2021-02-07T21:00:00,1.0,9814.243241673568
DE,offshore,2021-02-08T00:00:00,1.0,11163.703915797716
DE,offshore,2021-02-08T03:00:00,1.0,11163.67893545603
DE,offshore,2021-02-08T06:00:00,1.0,11162.861250336611
DE,offshore,2021-02-08T09:00:00,1.0,11162.679311482469
DE,offshore,2021-02-08T12:00:00,1.0,11160.713251509615
DE,offshore,2021-02-08T15:00:00,1.0,11152.886348250231
DE,offshore,2021-02-08T18:00:00,1.0,11098.615997757275
DE,offshore,2021-02-08T21:00:00,1.0,10703.46633577932
DE,offshore,2021-02-09T00:00:00,1.0,10303.416694939184
DE,offshore,2021-02-09T03:00:00,1.0,10076.359817026896
DE,offshore,2021-02-09T06:00:00,1.0,10056.004403148585
DE,offshore,2021-02-09T09:00:00,1.0,9965.747370376139
DE,offshore,2021-02-09T12:00:00,1.0,9831.163857987582
DE,offshore,2021-02-09T15:00:00,1.0,10081.532460756454
DE,offshore,2021-02-09T18:00:00,1.0,10115.42303606855
DE,offshore,2021-02-09T21:00:00,1.0,9367.68912795616
DE,offshore,2021-02-10T00:00:00,1.0,8572.81353225231
DE,offshore,2021-02-10T03:00:00,1.0,9174.415226002311
DE,offshore,2021-02-10T06:00:00,1.0,9240.641994663592
DE,offshore,2021-02-10T09:00:00,1.0,8861.121259514042
DE,offshore,2021-02-10T12:00:00,1.0,8470.364120568533
DE,offshore,2021-02-10T15:00:00,1.0,9470.353958856685
DE,offshore,2021-02-10T18:00:00,1.0,9781.023888754436
DE,offshore,2021-02-10T21:00:00,1.0,6467.413479975499
DE,offshore,2021-02-11T00:00:00,1.0,4018.3121005396447
DE,offshore,2021-02-11T03:00:00,1.0,2943.849148213563
DE,offshore,2021-02-11T06:00:00,1.0,2764.7719338671973
DE,offshore,2021-02-11T09:00:00,1.0,1990.09794736305
DE,offshore,2021-02-11T12:00:00,1.0,2159.2240769560312
DE,offshore,2021-02-11T15:00:00,1.0,3175.0341618097623
DE,offshore,2021-02-11T18:00:00,1.0,6545.191466348806
DE,offshore,2021-02-11T21:00:00,1.0,7706.231814941185
DE,offshore,2021-02-12T00:00:00,1.0,6550.238633472388
DE,offshore,2021-02-12T03:00:00,1.0,6786.348425037655
DE,offshore,2021-02-12T06:00:00,1.0,7522.04832590521
DE,offshore,2021-02-12T09:00:00,1.0,7481.557948394598
DE,offshore,2021-02-12T12:00:00,1.0,5146.799281971387
DE,offshore,2021-02-12T15:00:00,1.0,4822.574462359498
DE,offshore,2021-02-12T18:00:00,1.0,5559.373444678528
DE,offshore,2021-02-12T21:00:00,1.0,3835.8916469324618
DE,offshore,2021-02-13T00:00:00,1.0,1406.30604425254
