b,t,scale,MW
lignite,2021-01-21T15:00:00,1.0,0.0
lignite,2021-01-21T18:00:00,1.0,0.0
lignite,2021-01-21T21:00:00,1.0,0.0
lignite,2021-01-22T00:00:00,1.0,0.0
lignite,2021-01-22T03:00:00,1.0,0.0
lignite,2021-01-22T06:00:00,1.0,0.0
lignite,2021-01-22T09:00:00,1.0,0.0
lignite,2021-01-22T12:00:00,1.0,0.0
lignite,2021-01-22T15:00:00,1.0,0.0
lignite,2021-01-22T18:00:00,1.0,0.0
lignite,2021-01-22T21:00:00,1.0,0.0
lignite,2021-01-23T00:00:00,1.0,0.0
lignite,2021-01-23T03:00:00,1.0,0.0
lignite,2021-01-23T06:00:00,1.0,0.0
lignite,2021-01-23T09:00:00,1.0,0.0
lignite,2021-01-23T12:00:00,1.0,0.0
lignite,2021-01-23T15:00:00,1.0,10153.472242952255
lignite,2021-01-23T18:00:00,1.0,8835.840155795227
lignite,2021-01-23T21:00:00,1.0,6575.0629984515
lignite,2021-01-24T00:00:00,1.0,4.350303952440299
lignite,2021-01-24T03:00:00,1.0,0.0
lignite,2021-01-24T06:00:00,1.0,0.0
lignite,2021-01-24T09:00:00,1.0,106.22204751286336
lignite,2021-01-24T12:00:00,1.0,1320.3227446285746
lignite,2021-01-24T15:00:00,1.0,13316.188742367696
lignite,2021-01-24T18:00:00,1.0,11965.13939291819
lignite,2021-01-24T21:00:00,1.0,9412.049306690464
lignite,2021-01-25T00:00:00,1.0,6161.18848107172
lignite,2021-01-25T03:00:00,1.0,13518.638140165964
lignite,2021-01-25T06:00:00,1.0,19457.035
lignite,2021-01-25T09:00:00,1.0,19457.035
lignite,2021-01-25T12:00:00,1.0,19457.035
lignite,2021-01-25T15:00:00,1.0,19457.035
lignite,2021-01-25T18:00:00,1.0,16820.4043449926
lignite,2021-01-25T21:00:00,1.0,9222.597355105845
lignite,2021-01-26T00:00:00,1.0,6735.794213762514
lignite,2021-01-26T03:00:00,1.0,12082.116691123665
lignite,2021-01-26T06:00:00,1.0,19457.035
lignite,2021-01-26T09:00:00,1.0,19457.035
lignite,2021-01-26T12:00:00,1.0,19457.035
lignite,2021-01-26T15:00:00,1.0,19457.035
lignite,2021-01-26T18:00:00,1.0,19457.035
lignite,2021-01-26T21:00:00,1.0,19457.035
lignite,2021-01-27T00:00:00,1.0,13722.180582185167
lignite,2021-01-27T03:00:00,1.0,18759.049737270387
lignite,2021-01-27T06:00:00,1.0,19457.035
lignite,2021-01-27T09:00:00,1.0,19457.035
lignite,2021-01-27T12:00:00,1.0,19457.035
lignite,2021-01-27T15:00:00,1.0,19457.035
lignite,2021-01-27T18:00:00,1.0,19457.035
lignite,2021-01-27T21:00:00,1.0,18904.908832094323
lignite,2021-01-28T00:00:00,1.0,13083.302828710275
