scenario,scope,carrier,capacity_gw,mean_cf,min_cf,max_cf,available_energy_gwh
extreme,transition-out,onwind,73.3320659,0.3813965297405213,0.005509919759318801,0.9599222816049537,1342.4925817422345
extreme,transition-out,offwind-ac,11.163743,0.48519533019573724,0.12384055269859905,0.8782687804637508,259.99660661305677
extreme,transition-out,offwind-dc,0.0,,0.1319764332646977,0.8782687804637511,0.0
extreme,transition-out,offwind-float,0.0,,0.09617733782756252,0.8782575211702564,0.0
extreme,transition-out,solar,48.77125402000001,0.011238075076254513,0.0,0.10442283185116273,26.30856068351231
extreme,transition-out,solar-hsat,0.0,,0.0,0.10127427394086248,0.0
extreme,core,onwind,73.3320659,0.08279177629877113,0.0,0.9599222816049537,2039.9541104945663
extreme,core,offwind-ac,11.163743,0.14671324656839188,0.0,0.8782687804637508,550.3239770734135
extreme,core,offwind-dc,0.0,,0.0,0.8782687804637511,0.0
extreme,core,offwind-float,0.0,,0.0,0.8782575211702564,0.0
extreme,core,solar,48.77125402000001,0.00884461772754474,0.0,0.4093086729924596,144.9380008943596
extreme,core,solar-hsat,0.0,,0.0,0.3961191591996899,0.0
extreme,post-buffer,onwind,73.3320659,0.19040947311874254,3.781296172976627e-05,0.9469742127216686,2345.804165162288
extreme,post-buffer,offwind-ac,11.163743,0.6239081865202012,0.0030317440147045564,1.0,1170.1453091844755
extreme,post-buffer,offwind-dc,0.0,,0.0,1.0,0.0
extreme,post-buffer,offwind-float,0.0,,0.005613670813518482,0.9999759859411101,0.0
extreme,post-buffer,solar,48.77125402000001,0.07847297039221,0.0,0.6755103859936892,642.9738290140056
extreme,post-buffer,solar-hsat,0.0,,0.0,0.6759502933149059,0.0
extreme,full-window,onwind,73.3320659,0.21571468929647167,0.0,0.9999999685828747,10630.236161050387
extreme,full-window,offwind-ac,11.163743,0.4218369114334699,0.0,1.0,3164.6353987295174
extreme,full-window,offwind-dc,0.0,,0.0,1.0,0.0
extreme,full-window,offwind-float,0.0,,0.0,1.0,0.0
extreme,full-window,solar,48.77125402000001,0.03353550601486444,0.0,0.6755103859936892,1099.102154667009
extreme,full-window,solar-hsat,0.0,,0.0,0.6759502933149059,0.0
