n,k,t,scale,MW
DE0,onwind,2021-01-29T09:00:00,1.0,0.0
DE0,onwind,2021-01-29T12:00:00,1.0,0.0
DE0,onwind,2021-01-29T15:00:00,1.0,0.0
DE0,onwind,2021-01-29T18:00:00,1.0,198.90707199999994
DE0,onwind,2021-01-29T21:00:00,1.0,225.08366399999997
DE0,onwind,2021-01-30T00:00:00,1.0,362.10719999999986
DE0,onwind,2021-01-30T03:00:00,1.0,782.9956159999998
DE0,onwind,2021-01-30T06:00:00,1.0,456.1466
DE0,onwind,2021-01-30T09:00:00,1.0,637.3425240000001
DE0,onwind,2021-01-30T12:00:00,1.0,572.2795520000001
DE0,onwind,2021-01-30T15:00:00,1.0,767.9568
DE0,onwind,2021-01-30T18:00:00,1.0,715.0774799999999
DE0,onwind,2021-01-30T21:00:00,1.0,1250.1627319999998
DE0,onwind,2021-01-31T00:00:00,1.0,858.575796
DE0,onwind,2021-01-31T03:00:00,1.0,909.2856240000001
DE0,onwind,2021-01-31T06:00:00,1.0,845.812968
DE0,onwind,2021-01-31T09:00:00,1.0,800.54832
DE0,onwind,2021-01-31T12:00:00,1.0,732.6128160000002
DE0,onwind,2021-01-31T15:00:00,1.0,547.432704
DE0,onwind,2021-01-31T18:00:00,1.0,754.9443199999998
DE0,onwind,2021-01-31T21:00:00,1.0,810.6602400000002
DE0,onwind,2021-02-01T00:00:00,1.0,613.330328
DE0,onwind,2021-02-01T03:00:00,1.0,422.5537160000001
DE0,onwind,2021-02-01T06:00:00,1.0,579.9096159999999
DE0,onwind,2021-02-01T09:00:00,1.0,370.29075200000005
DE0,onwind,2021-02-01T12:00:00,1.0,279.1289279999999
DE0,onwind,2021-02-01T15:00:00,1.0,290.2879200000001
DE0,onwind,2021-02-01T18:00:00,1.0,287.04020800000006
DE0,onwind,2021-02-01T21:00:00,1.0,312.973024
DE0,onwind,2021-02-02T00:00:00,1.0,189.57910399999992
DE0,onwind,2021-02-02T03:00:00,1.0,128.338704
DE0,onwind,2021-02-02T06:00:00,1.0,137.46813600000004
DE0,onwind,2021-02-02T09:00:00,1.0,140.15976
DE0,onwind,2021-02-02T12:00:00,1.0,139.834968
DE0,onwind,2021-02-02T15:00:00,1.0,122.6394
DE0,onwind,2021-02-02T18:00:00,1.0,88.7536
DE0,onwind,2021-02-02T21:00:00,1.0,104.81588000000002
DE0,onwind,2021-02-03T00:00:00,1.0,151.15495199999998
DE0,onwind,2021-02-03T03:00:00,1.0,157.37436
DE0,onwind,2021-02-03T06:00:00,1.0,153.6795
DE0,onwind,2021-02-03T09:00:00,1.0,147.52009999999999
DE0,onwind,2021-02-03T12:00:00,1.0,140.27832
DE0,onwind,2021-02-03T15:00:00,1.0,174.431348
DE0,onwind,2021-02-03T18:00:00,1.0,260.83366399999994
DE0,onwind,2021-02-03T21:00:00,1.0,281.35458
DE0,onwind,2021-02-04T00:00:00,1.0,450.996
DE0,onwind,2021-02-04T03:00:00,1.0,444.7757600000001
DE0,onwind,2021-02-04T06:00:00,1.0,725.4658319999999
DE0,onwind,2021-02-04T09:00:00,1.0,388.2471320000001
DE0,onwind,2021-02-04T12:00:00,1.0,495.760616
DE0,onwind,2021-02-04T15:00:00,1.0,506.60375999999997
DE0,onwind,2021-02-04T18:00:00,1.0,514.7129
DE0,onwind,2021-02-04T21:00:00,1.0,644.863492
DE0,onwind,2021-02-05T00:00:00,1.0,517.492716
DE0,onwind,2021-02-05T03:00:00,1.0,520.2288000000001
DE0,onwind,2021-02-05T06:00:00,1.0,569.736024
DE0,onwind,2021-02-05T09:00:00,1.0,620.2379039999998
DE0,onwind,2021-02-05T12:00:00,1.0,683.5489439999998
DE0,onwind,2021-02-05T15:00:00,1.0,475.8848640000001
DE0,onwind,2021-02-05T18:00:00,1.0,417.0545599999999
DE0,onwind,2021-02-05T21:00:00,1.0,533.43056
DE0,onwind,2021-02-06T00:00:00,1.0,541.392696
DE0,onwind,2021-02-06T03:00:00,1.0,491.266412
DE0,onwind,2021-02-06T06:00:00,1.0,510.3535840000002
DE0,onwind,2021-02-06T09:00:00,1.0,452.9495359999998
DE0,onwind,2021-02-06T12:00:00,1.0,409.9929599999998
DE0,onwind,2021-02-06T15:00:00,1.0,490.8186399999999
DE0,onwind,2021-02-06T18:00:00,1.0,429.8621600000001
DE0,onwind,2021-02-06T21:00:00,1.0,467.115844
DE0,onwind,2021-02-07T00:00:00,1.0,272.83677200000005
DE0,onwind,2021-02-07T03:00:00,1.0,226.74288000000007
DE0,onwind,2021-02-07T06:00:00,1.0,118.19506399999997
DE0,onwind,2021-02-07T09:00:00,1.0,142.67812
DE0,onwind,2021-02-07T12:00:00,1.0,150.75231599999998
DE0,onwind,2021-02-07T15:00:00,1.0,93.50639999999999
DE0,onwind,2021-02-07T18:00:00,1.0,74.98374
DE0,onwind,2021-02-07T21:00:00,1.0,92.388608
DE0,solar,2021-01-25T00:00:00,1.0,0.0
