timestamp,scenario,load_shedding_GW
2021-01-25 18:00:00,+4.5 GW SMR,0.0
2021-01-25 21:00:00,+4.5 GW SMR,0.0
2021-01-26 00:00:00,+4.5 GW SMR,0.0
2021-01-26 03:00:00,+4.5 GW SMR,0.0
2021-01-26 06:00:00,+4.5 GW SMR,3.1323842260091124
2021-01-26 09:00:00,+4.5 GW SMR,5.905632177068598
2021-01-26 12:00:00,+4.5 GW SMR,5.567348480720701
2021-01-26 15:00:00,+4.5 GW SMR,9.204074510279334
2021-01-26 18:00:00,+4.5 GW SMR,6.154922001070591
2021-01-26 21:00:00,+4.5 GW SMR,0.0
2021-01-27 00:00:00,+4.5 GW SMR,0.0
2021-01-27 03:00:00,+4.5 GW SMR,0.0
2021-01-27 06:00:00,+4.5 GW SMR,9.669230302114691
2021-01-27 09:00:00,+4.5 GW SMR,10.946881395497908
2021-01-27 12:00:00,+4.5 GW SMR,9.720384335825269
2021-01-27 15:00:00,+4.5 GW SMR,11.410704180513909
2021-01-27 18:00:00,+4.5 GW SMR,6.3109238931707115
2021-01-27 21:00:00,+4.5 GW SMR,0.0
2021-01-28 00:00:00,+4.5 GW SMR,0.0
2021-01-28 03:00:00,+4.5 GW SMR,0.0
2021-01-28 06:00:00,+4.5 GW SMR,11.392063310773727
2021-01-28 09:00:00,+4.5 GW SMR,14.013405086879722
2021-01-28 12:00:00,+4.5 GW SMR,10.987050604288324
2021-01-28 15:00:00,+4.5 GW SMR,11.649710502439987
2021-01-28 18:00:00,+4.5 GW SMR,5.815366810077201
2021-01-28 21:00:00,+4.5 GW SMR,0.0
2021-01-29 00:00:00,+4.5 GW SMR,0.0
2021-01-29 03:00:00,+4.5 GW SMR,0.0
2021-01-29 06:00:00,+4.5 GW SMR,4.663888761687644
2021-01-29 09:00:00,+4.5 GW SMR,5.674155562993772
2021-01-29 12:00:00,+4.5 GW SMR,2.4535477629475353
2021-01-29 15:00:00,+4.5 GW SMR,3.133074099053219
2021-01-29 18:00:00,+4.5 GW SMR,0.0
2021-01-29 21:00:00,+4.5 GW SMR,0.0
