timestamp,scenario,cumulative_unserved_energy_GWh
2021-02-07 03:00:00,No nuclear,1748.3405251783724
2021-02-07 06:00:00,No nuclear,1748.3405251783724
2021-02-07 09:00:00,No nuclear,1748.3405251783724
2021-02-07 12:00:00,No nuclear,1748.3405251783724
2021-02-07 15:00:00,No nuclear,1748.3405251783724
2021-02-07 18:00:00,No nuclear,1748.3405251783724
2021-02-07 21:00:00,No nuclear,1748.3405251783724
2021-02-08 00:00:00,No nuclear,1748.3405251783724
2021-02-08 03:00:00,No nuclear,1748.3405251783724
2021-02-08 06:00:00,No nuclear,1748.3405251783724
2021-02-08 09:00:00,No nuclear,1748.3405251783724
2021-02-08 12:00:00,No nuclear,1748.3405251783724
2021-02-08 15:00:00,No nuclear,1748.3405251783724
2021-02-08 18:00:00,No nuclear,1748.3405251783724
2021-02-08 21:00:00,No nuclear,1748.3405251783724
2021-02-09 00:00:00,No nuclear,1748.3405251783724
2021-02-09 03:00:00,No nuclear,1748.3405251783724
2021-02-09 06:00:00,No nuclear,1748.3405251783724
2021-02-09 09:00:00,No nuclear,1748.3405251783724
2021-02-09 12:00:00,No nuclear,1748.3405251783724
2021-02-09 15:00:00,No nuclear,1757.1700327625344
2021-02-09 18:00:00,No nuclear,1757.1700327625344
2021-02-09 21:00:00,No nuclear,1757.1700327625344
2021-02-10 00:00:00,No nuclear,1757.1700327625344
2021-02-10 03:00:00,No nuclear,1757.1700327625344
2021-02-10 06:00:00,No nuclear,1757.1700327625344
2021-02-10 09:00:00,No nuclear,1757.1700327625344
2021-02-10 12:00:00,No nuclear,1757.1700327625344
2021-02-10 15:00:00,No nuclear,1757.1700327625344
2021-02-10 18:00:00,No nuclear,1757.1700327625344
2021-02-10 21:00:00,No nuclear,1757.1700327625344
2021-02-11 00:00:00,No nuclear,1757.1700327625344
2021-02-11 03:00:00,No nuclear,1757.1700327625344
2021-02-11 06:00:00,No nuclear,1776.672172270265
2021-02-11 09:00:00,No nuclear,1789.1266757641592
2021-02-11 12:00:00,No nuclear,1801.0652694022262
2021-02-11 15:00:00,No nuclear,1830.0113800602037
2021-02-11 18:00:00,No nuclear,1840.0047576024838
2021-02-11 21:00:00,No nuclear,1840.0047576024838
2021-02-12 00:00:00,No nuclear,1840.0047576024838
2021-02-12 03:00:00,No nuclear,1840.0047576024838
2021-02-12 06:00:00,No nuclear,1840.0047576024838
2021-02-12 09:00:00,No nuclear,1840.0047576024838
2021-02-12 12:00:00,No nuclear,1840.0047576024838
2021-02-12 15:00:00,No nuclear,1840.0047576024838
2021-02-12 18:00:00,No nuclear,1840.0047576024838
2021-02-12 21:00:00,No nuclear,1840.0047576024838
2021-02-13 00:00:00,No nuclear,1840.0047576024838
2021-02-13 03:00:00,No nuclear,1840.0047576024838
2021-02-13 06:00:00,No nuclear,1840.0047576024838
2021-02-13 09:00:00,No nuclear,1840.0047576024838
2021-02-13 12:00:00,No nuclear,1840.0047576024838
2021-02-13 15:00:00,No nuclear,1840.0047576024838
2021-02-13 18:00:00,No nuclear,1840.0047576024838
2021-02-13 21:00:00,No nuclear,1840.0047576024838
2021-02-14 00:00:00,No nuclear,1840.0047576024838
2021-02-14 03:00:00,No nuclear,1840.0047576024838
2021-02-14 06:00:00,No nuclear,1840.0047576024838
2021-02-14 09:00:00,No nuclear,1840.0047576024838
2021-02-14 12:00:00,No nuclear,1840.0047576024838
2021-02-14 15:00:00,No nuclear,1840.0047576024838
2021-02-14 18:00:00,No nuclear,1840.0047576024838
2021-02-14 21:00:00,No nuclear,1840.0047576024838
2021-01-18 00:00:00,+4.5 GW SMR,0.0
2021-01-18 03:00:00,+4.5 GW SMR,0.0
2021-01-18 06:00:00,+4.5 GW SMR,0.0
2021-01-18 09:00:00,+4.5 GW SMR,0.0
2021-01-18 12:00:00,+4.5 GW SMR,0.0
2021-01-18 15:00:00,+4.5 GW SMR,0.0
2021-01-18 18:00:00,+4.5 GW SMR,0.0
2021-01-18 21:00:00,+4.5 GW SMR,0.0
2021-01-19 00:00:00,+4.5 GW SMR,0.0
2021-01-19 03:00:00,+4.5 GW SMR,0.0
2021-01-19 06:00:00,+4.5 GW SMR,0.0
2021-01-19 09:00:00,+4.5 GW SMR,0.0
2021-01-19 12:00:00,+4.5 GW SMR,0.0
2021-01-19 15:00:00,+4.5 GW SMR,0.0
2021-01-19 18:00:00,+4.5 GW SMR,0.0
2021-01-19 21:00:00,+4.5 GW SMR,0.0
2021-01-20 00:00:00,+4.5 GW SMR,0.0
2021-01-20 03:00:00,+4.5 GW SMR,0.0
2021-01-20 06:00:00,+4.5 GW SMR,0.0
2021-01-20 09:00:00,+4.5 GW SMR,0.0
2021-01-20 12:00:00,+4.5 GW SMR,0.0
2021-01-20 15:00:00,+4.5 GW SMR,0.0
2021-01-20 18:00:00,+4.5 GW SMR,0.0
2021-01-20 21:00:00,+4.5 GW SMR,0.0
2021-01-21 00:00:00,+4.5 GW SMR,0.0
2021-01-21 03:00:00,+4.5 GW SMR,0.0
2021-01-21 06:00:00,+4.5 GW SMR,0.0
2021-01-21 09:00:00,+4.5 GW SMR,0.0
2021-01-21 12:00:00,+4.5 GW SMR,0.0
2021-01-21 15:00:00,+4.5 GW SMR,0.0
2021-01-21 18:00:00,+4.5 GW SMR,0.0
2021-01-21 21:00:00,+4.5 GW SMR,0.0
2021-01-22 00:00:00,+4.5 GW SMR,0.0
2021-01-22 03:00:00,+4.5 GW SMR,0.0
2021-01-22 06:00:00,+4.5 GW SMR,0.0
2021-01-22 09:00:00,+4.5 GW SMR,0.0
2021-01-22 12:00:00,+4.5 GW SMR,0.0
2021-01-22 15:00:00,+4.5 GW SMR,0.0
2021-01-22 18:00:00,+4.5 GW SMR,0.0
2021-01-22 21:00:00,+4.5 GW SMR,0.0
2021-01-23 00:00:00,+4.5 GW SMR,0.0
2021-01-23 03:00:00,+4.5 GW SMR,0.0
2021-01-23 06:00:00,+4.5 GW SMR,0.0
2021-01-23 09:00:00,+4.5 GW SMR,0.0
2021-01-23 12:00:00,+4.5 GW SMR,0.0
2021-01-23 15:00:00,+4.5 GW SMR,0.0
2021-01-23 18:00:00,+4.5 GW SMR,0.0
2021-01-23 21:00:00,+4.5 GW SMR,0.0
2021-01-24 00:00:00,+4.5 GW SMR,0.0
2021-01-24 03:00:00,+4.5 GW SMR,0.0
2021-01-24 06:00:00,+4.5 GW SMR,0.0
2021-01-24 09:00:00,+4.5 GW SMR,0.0
2021-01-24 12:00:00,+4.5 GW SMR,0.0
2021-01-24 15:00:00,+4.5 GW SMR,0.0
2021-01-24 18:00:00,+4.5 GW SMR,0.0
2021-01-24 21:00:00,+4.5 GW SMR,0.0
2021-01-25 00:00:00,+4.5 GW SMR,0.0
2021-01-25 03:00:00,+4.5 GW SMR,0.0
2021-01-25 06:00:00,+4.5 GW SMR,17.122202191268002
2021-01-25 09:00:00,+4.5 GW SMR,25.02150726055487
2021-01-25 12:00:00,+4.5 GW SMR,25.02150726055487
2021-01-25 15:00:00,+4.5 GW SMR,31.157522632187096
2021-01-25 18:00:00,+4.5 GW SMR,31.157522632187096
2021-01-25 21:00:00,+4.5 GW SMR,31.157522632187096
2021-01-26 00:00:00,+4.5 GW SMR,31.157522632187096
2021-01-26 03:00:00,+4.5 GW SMR,31.157522632187096
2021-01-26 06:00:00,+4.5 GW SMR,40.55467531021443
2021-01-26 09:00:00,+4.5 GW SMR,58.271571841420226
2021-01-26 12:00:00,+4.5 GW SMR,74.97361728358234
2021-01-26 15:00:00,+4.5 GW SMR,102.58584081442035
2021-01-26 18:00:00,+4.5 GW SMR,121.05060681763212
2021-01-26 21:00:00,+4.5 GW SMR,121.05060681763212
2021-01-27 00:00:00,+4.5 GW SMR,121.05060681763212
2021-01-27 03:00:00,+4.5 GW SMR,121.05060681763212
2021-01-27 06:00:00,+4.5 GW SMR,150.05829772397618
2021-01-27 09:00:00,+4.5 GW SMR,182.89894191046992
2021-01-27 12:00:00,+4.5 GW SMR,212.0600949179457
2021-01-27 15:00:00,+4.5 GW SMR,246.29220745948743
2021-01-27 18:00:00,+4.5 GW SMR,265.2249791389996
2021-01-27 21:00:00,+4.5 GW SMR,265.2249791389996
2021-01-28 00:00:00,+4.5 GW SMR,265.2249791389996
2021-01-28 03:00:00,+4.5 GW SMR,265.2249791389996
2021-01-28 06:00:00,+4.5 GW SMR,299.40116907132074
2021-01-28 09:00:00,+4.5 GW SMR,341.44138433195985
2021-01-28 12:00:00,+4.5 GW SMR,374.40253614482486
2021-01-28 15:00:00,+4.5 GW SMR,409.35166765214484
2021-01-28 18:00:00,+4.5 GW SMR,426.7977680823765
2021-01-28 21:00:00,+4.5 GW SMR,426.7977680823765
2021-01-29 00:00:00,+4.5 GW SMR,426.7977680823765
2021-01-29 03:00:00,+4.5 GW SMR,426.7977680823765
2021-01-29 06:00:00,+4.5 GW SMR,440.78943436743936
2021-01-29 09:00:00,+4.5 GW SMR,457.8119010564207
2021-01-29 12:00:00,+4.5 GW SMR,465.1725443452633
2021-01-29 15:00:00,+4.5 GW SMR,474.571766642423
2021-01-29 18:00:00,+4.5 GW SMR,474.571766642423
2021-01-29 21:00:00,+4.5 GW SMR,474.571766642423
2021-01-30 00:00:00,+4.5 GW SMR,474.571766642423
2021-01-30 03:00:00,+4.5 GW SMR,474.571766642423
2021-01-30 06:00:00,+4.5 GW SMR,474.571766642423
2021-01-30 09:00:00,+4.5 GW SMR,476.4754416505619
2021-01-30 12:00:00,+4.5 GW SMR,476.4754416505619
2021-01-30 15:00:00,+4.5 GW SMR,483.92956131523465
2021-01-30 18:00:00,+4.5 GW SMR,483.92956131523465
2021-01-30 21:00:00,+4.5 GW SMR,483.92956131523465
2021-01-31 00:00:00,+4.5 GW SMR,483.92956131523465
2021-01-31 03:00:00,+4.5 GW SMR,483.92956131523465
2021-01-31 06:00:00,+4.5 GW SMR,483.92956131523465
2021-01-31 09:00:00,+4.5 GW SMR,483.92956131523465
