scenario,rank,modelled_marginal_price_EUR_per_MWh,near_VOLL
Decarbonised no nuclear,79,124.17102705607098,False
Decarbonised no nuclear,80,124.17102705607097,False
Decarbonised no nuclear,81,124.17102705607095,False
Decarbonised no nuclear,82,124.12654154850787,False
Decarbonised no nuclear,83,124.12654154850787,False
Decarbonised no nuclear,84,124.12654154850787,False
Decarbonised no nuclear,85,124.12654154850786,False
Decarbonised no nuclear,86,124.12654154850786,False
Decarbonised no nuclear,87,124.12654154850786,False
Decarbonised no nuclear,88,124.12654154850786,False
Decarbonised no nuclear,89,124.0856795964856,False
Decarbonised no nuclear,90,124.0856795964856,False
Decarbonised no nuclear,91,124.0856795964856,False
Decarbonised no nuclear,92,124.08567959648559,False
Decarbonised no nuclear,93,124.08567959648559,False
Decarbonised no nuclear,94,124.08567959648556,False
Decarbonised no nuclear,95,122.74256655771869,False
Decarbonised no nuclear,96,122.74256655771869,False
Decarbonised no nuclear,97,122.74256655771867,False
Decarbonised no nuclear,98,122.74256655771866,False
Decarbonised no nuclear,99,122.74256655771866,False
Decarbonised no nuclear,100,122.74256655771865,False
Decarbonised no nuclear,101,121.61355425784309,False
Decarbonised no nuclear,102,77.67749182669206,False
Decarbonised no nuclear,103,68.47458246183793,False
Decarbonised no nuclear,104,63.547788749257876,False
Decarbonised no nuclear,105,63.547788749257876,False
Decarbonised no nuclear,106,61.01783758118529,False
Decarbonised no nuclear,107,58.947059454733896,False
Decarbonised no nuclear,108,58.947025529878616,False
Decarbonised no nuclear,109,58.94683379381083,False
Decarbonised no nuclear,110,58.94674654913856,False
Decarbonised no nuclear,111,58.94674647126025,False
Decarbonised no nuclear,112,58.94664648340484,False
Decarbonised no nuclear,113,58.94663557009501,False
Decarbonised no nuclear,114,58.94660021966082,False
Decarbonised no nuclear,115,58.94659013671203,False
Decarbonised no nuclear,116,58.946420684177575,False
Decarbonised no nuclear,117,58.9463250455692,False
Decarbonised no nuclear,118,58.9463250455692,False
Decarbonised no nuclear,119,58.9463250455692,False
